Sense_current,Battery_current,Current_ratio,Battery_impedance,Rectified_Impedance
(834.2899169921875-29.069055557250977j),(329.4391174316406-39.53829574584961j),(2.506935497298112+0.21263686624957662j),(0.17487183775558574-0.0115838780267444j),(0.07603978252292673-0.00440396869555739j)
(831.4326782226562-29.784896850585938j),(331.2408142089844-38.60000228881836j),(2.486764204937211+0.19986729989732735j),(0.16555838456281524-0.014407407144474154j),(0.07278837096329464-0.004770291709099734j)
(828.4893188476562-30.720909118652344j),(334.4483337402344-36.812782287597656j),(2.457518408773718+0.1786439787668475j),(0.159471437740277-0.01529269867817739j),(0.06903349240844654-0.004163136304217507j)
(826.5333251953125+7.028902053833008j),(337.78656005859375-18.6334228515625j),(2.4383423112570277+0.1553157277401472j),(0.15647770008519427-0.014609639476751767j),(0.06833630351774729-0.003838645962422129j)
(823.009521484375+8.938552856445312j),(340.3256530761719-19.301509857177734j),(2.4090614679791087+0.16289420449531378j),(0.15627464763042306-0.012588772796327495j),(0.06759872284362893-0.004043929003144153j)
(819.0137329101562+6.699012756347656j),(345.01544189453125-17.93918800354004j),(2.3664393275663107+0.14246032723241325j),(0.15843161191071511-0.009361717462632565j),(0.06449144543437033-0.0035317127857983463j)
(819.0450439453125+5.969928741455078j),(345.94976806640625-16.748167037963867j),(2.361156567485743+0.13156526622603473j),(0.16242590111574326-0.005026874774996543j),(0.06304582820096369-0.0029754114990420168j)
(817.6045532226562+5.242197036743164j),(347.3740234375-15.643560409545898j),(2.3482302109113697+0.1208405792156431j),(0.16768025418844776+0.000279566161139615j),(0.06160698213836176-0.0029207047375574566j)
(815.1124267578125+3.8861923217773438j),(350.6969299316406-14.78488540649414j),(2.319674468513064+0.10887552829891j),(0.1736052414246819+0.006324986805329508j),(0.05765240890311782-0.0028884549988171097j)
(812.86083984375-7.5238189697265625j),(351.70355224609375-17.25844955444336j),(2.3067054943994334+0.09179987303549328j),(0.1796444899940663+0.012747511813139331j),(0.058090610166904526-0.003256385936594391j)
(811.2952270507812-9.42888069152832j),(353.19744873046875-16.399005889892578j),(2.293297640770352+0.07978234533694288j),(0.18531524164736454+0.01905628679880288j),(0.05505208771187338-0.0024506843910144134j)
(810.8275146484375-9.502408981323242j),(357.6939392089844-16.651403427124023j),(2.2631514921752+0.07878869738164089j),(0.19023464254967032+0.024664907468436234j),(0.05765849763273804-0.001486926079013717j)
(808.9683837890625-11.851081848144531j),(355.6952819824219-14.316292762756348j),(2.2719902842089232+0.05812670918629216j),(0.19412469458606219+0.028951436153440018j),(0.052907667548448355-0.0019576421780601004j)
(808.0645141601562-15.072351455688477j),(356.4398193359375-10.12129020690918j),(2.266416632284001+0.022070230604649275j),(0.19679536421177357+0.031334165656583375j),(0.050920902478710894-0.0018808899946666782j)
(808.4985961914062-34.92668151855469j),(351.8548583984375-17.35737419128418j),(2.297125124477881+0.014055167104181462j),(0.19811369966948475+0.03135098147775922j),(0.04959227638960383-0.0016602408950005332j)
(807.5175170898438-36.049049377441406j),(356.10491943359375-17.71316909790039j),(2.267065524538225+0.011535548627798311j),(0.19797393971633231+0.02873093794752449j),(0.048096890874447754-0.0014831372367162044j)
(806.6743774414062-39.152061462402344j),(357.41387939453125-14.43851375579834j),(2.2577162971027684-0.018337266759468236j),(0.19628670373626397+0.02344762131866845j),(0.047522563389969366-0.0011589547834629354j)
(807.048583984375-45.36609649658203j),(357.8098449707031-9.457609176635742j),(2.257297900898582-0.0671235168406546j),(0.19300252060666062+0.015743533803851056j),(0.04405824759479064-0.0013751156664108307j)
(806.5028686523438-53.37324905395508j),(358.2744445800781-0.23573684692382812j),(2.2511726697783403-0.14749186135459785j),(0.18817562925900158+0.0061135342637211j),(0.046441147631077685-0.0005614610917197056j)
(811.6419067382812-68.34873962402344j),(355.30987548828125+13.70970344543457j),(2.273514029602948-0.2800877476657614j),(0.18205963518329613-0.00476356385777679j),(0.046502864998766685-0.0004207932418502216j)
(819.972412109375-80.5268783569336j),(349.8109436035156+30.358074188232422j),(2.3066937816612416-0.43038578999055327j),(0.17521168976397514-0.01614789384468226j),(0.044166741444070685+0.00016882134116226165j)
(833.818603515625-98.72270202636719j),(330.1024475097656+48.45793151855469j),(2.4296790860384254-0.6557355948815802j),(0.16857424779805955-0.027399289571072773j),
(854.282958984375-113.08871459960938j),(307.13616943359375+63.68069076538086j),(2.5936089684243924-0.9059549248051771j),(0.16351250344915635-0.038129646604371695j),
(877.0650634765625-118.60791778564453j),(284.9095153808594+79.16726684570312j),(2.7503645349035724-1.1805388822963476j),(0.1618162291803804-0.0482673843646456j),
(895.433837890625-105.62503814697266j),(258.069580078125+87.328369140625j),(2.988975793294677-1.4207308721361427j),(0.16571819269067115-0.0579247582171028j),
(897.9849853515625-70.85696411132812j),(246.73385620117188+101.67750549316406j),(3.0099838101074488-1.5275755638113886j),(0.17800540850981467-0.06692744381355017j),
(909.8087158203125-1.269780158996582j),(218.87936401367188+116.58255767822266j),(3.2356323689585325-1.7292085946256102j),(0.20223792814458616-0.07380438290092728j),
(909.6334838867188+125.43496704101562j),(180.487060546875+141.740478515625j),(3.454913708439567-2.018239723776742j),(0.24281831143033064-0.0739113553172278j),
(876.7244873046875+295.56463623046875j),(137.62379455566406+155.7396240234375j),(3.858982252920112-2.2193241360518563j),(0.30393517583489515-0.05625259513620528j),
(797.0352172851562+452.9449462890625j),(93.41575622558594+158.6025390625j),(4.317839054203246-2.4821860930060824j),(0.38485791706692957+0.0009760819452749065j),
