Test_Time(s),Step_Time(s),Current(A),Voltage(V)
1438.85925,65.05204577,0,2.555265665
1443.861502,70.05429817,0,2.559882164
1448.868699,75.06149499,0,2.564191103
1453.869176,80.06197234,0,2.568192005
1458.875241,85.06803738,0,2.571885347
1463.878632,90.07142887,0,2.575270653
1468.882847,95.07564264,0,2.578963995
1473.889006,100.0818024,0,2.582349539
1478.898246,105.0910422,0,2.585119486
1483.903494,110.09629,0,2.588196993
1488.910782,115.1035784,0,2.591274738
1493.814027,120.0068238,0,2.593736887
1498.81951,5.005237761,1.099415302,2.890427828
1503.827894,10.01362257,1.099595666,2.936593533
1508.835034,15.02076203,1.099595666,2.973526001
1513.839046,20.02477369,1.099595666,3.003995419
1518.848608,25.03433609,1.099595666,3.031386852
1523.854771,30.04049852,1.099415302,3.055700779
1528.857022,35.04275015,1.099415302,3.077244759
1533.861499,40.04722762,1.099415302,3.097249746
1538.864479,45.05020682,1.099595666,3.116023779
1543.873723,50.05945163,1.099595666,3.132335663
1548.879125,55.06485299,1.099595666,3.14803195
1553.88624,60.0719682,1.099595666,3.16280508
1558.890525,65.07625357,1.099595666,3.176347017
1563.894772,70.08050045,1.099415302,3.188965559
1568.900022,75.08574976,1.099595666,3.201276302
1573.906455,80.0921832,1.099595666,3.212663889
1578.915577,85.10130559,1.099415302,3.223435879
1583.916777,90.10250474,1.099595666,3.233592272
1588.924026,95.10975391,1.099234819,3.243440866
1593.932397,100.1181252,1.099776149,3.252981901
1598.93752,105.1232487,1.099595666,3.261907101
1603.937802,110.1235301,1.099595666,3.27052474
1608.938021,115.1237491,1.099595666,3.278834581
1613.944223,120.1299508,1.099595666,3.287144423
1618.952586,125.1383141,1.099415302,3.294530869
1623.961745,130.1474738,1.099415302,3.302225113
1628.968023,135.1537513,1.099595666,3.308688402
1633.970305,140.1560334,1.099415302,3.316074848
1638.978526,145.1642542,1.099595666,3.322845697
1643.982804,150.1685322,1.099415302,3.329308987
1648.990153,155.1758811,1.099415302,3.335772038
1653.993354,160.1790824,1.099595666,3.341927528
1658.994522,165.1802496,1.099415302,3.347467422
1663.997771,170.1834991,1.099415302,3.353622913
1669.005048,175.1907756,1.099595666,3.359162807
1674.005275,180.1910027,1.099415302,3.364702702
1679.014548,185.200276,1.099595666,3.369934797
1684.017541,190.2032687,1.099595666,3.375166893
1689.022023,195.2077512,1.099595666,3.380398989
1694.031239,200.2169671,1.099595666,3.385323286
1699.037535,205.2232635,1.099415302,3.389939785
1704.042884,210.2286125,1.099595666,3.394248486
1709.046972,215.2327004,1.099595666,3.398865223
1714.053245,220.2389725,1.099595666,3.403481722
1719.059569,225.245297,1.099595666,3.407790422
1724.067768,230.2534975,1.099595666,3.411791563
1729.077118,235.2628466,1.099415302,3.415484667
1734.082276,240.2680035,1.099776149,3.419793606
1739.084518,245.2702459,1.099595666,3.422871351
1744.091715,250.2774427,1.099595666,3.426256657
1749.097042,255.2827702,1.099776149,3.429026604
1754.102272,260.2879995,1.099415302,3.431488752
1759.105521,265.2912489,1.099415302,3.433950901
1764.114664,270.3003921,1.099595666,3.435797691
1769.12297,275.3086984,1.099415302,3.437336445
1774.131303,280.3170308,1.099415302,3.438875437
1779.136523,285.3222505,1.099595666,3.440106392
1784.140544,290.3262721,1.099595666,3.441337585
1789.147028,295.3327564,1.099595666,3.441952944
1794.148305,300.3340329,1.099415302,3.443184137
1799.156525,305.342253,1.099595666,3.443799734
1804.160791,310.3465187,1.099595666,3.444415331
1809.167043,315.3527708,1.099415302,3.445030689
1814.175271,320.3609986,1.099415302,3.445646286
1819.183618,325.3693464,1.099415302,3.446261883
1824.187806,330.3735348,1.099415302,3.44687748
1829.1891,335.3748286,1.099595666,3.447492838
1834.189314,340.3750431,1.099415302,3.448108435
1839.190592,345.37632,1.099595666,3.448724031
1844.196784,350.3825124,1.099595666,3.449339628
1849.20202,355.3877479,1.099595666,3.449954987
1854.20826,360.3939877,1.099595666,3.450570583
1859.211634,365.3973623,1.099595666,3.45118618
1864.219916,370.4056435,1.099415302,3.451493979
1869.226014,375.4117424,1.099415302,3.452109575
1874.233236,380.4189635,1.099415302,3.452724934
1879.237538,385.4232662,1.099415302,3.45334053
1884.24381,390.4295383,1.099415302,3.453956127
1889.251056,395.436784,1.099415302,3.454263926
1894.252268,400.4379967,1.099415302,3.455187082
1899.257514,405.4432421,1.099595666,3.455802679
1904.262762,410.4484903,1.099415302,3.456110477
1909.268017,415.4537454,1.099595666,3.456726074
1914.268223,420.4539509,1.099415302,3.457649469
1919.277526,425.4632543,1.099595666,3.458264828
1924.283762,430.4694898,1.099415302,3.458572626
1929.287023,435.4727512,1.099595666,3.459188223
1934.2924,440.4781287,1.099595666,3.460111618
1939.294484,445.4802117,1.099595666,3.460726976
1944.303823,450.4895505,1.099415302,3.461342573
1949.305025,455.4907527,1.099415302,3.46195817
1954.312255,460.4979838,1.099595666,3.462573767
1959.321743,465.5074719,1.099595666,3.463189125
1964.328809,470.5145374,1.099415302,3.463804722
1969.336009,475.5217373,1.099595666,3.464728117
1974.343232,480.5289599,1.099595666,3.465651512
1979.346493,485.5322213,1.099595666,3.465959072
1984.352796,490.5385235,1.099595666,3.46626687
1989.36201,495.5477383,1.099595666,3.467805862
1994.363291,500.5490194,1.099595666,3.468421221
1999.369467,505.5551953,1.099595666,3.469036818
2004.376769,510.5624972,1.099415302,3.469652414
2009.383032,515.5687601,1.099595666,3.470575809
2014.390034,520.5757626,1.099415302,3.471191168
2019.396514,525.5822418,1.099776149,3.472422361
2024.39685,530.5825783,1.099415302,3.47273016
2029.39905,535.5847779,1.099595666,3.473653316
2034.408246,540.5939742,1.099415302,3.474268913
2039.412507,545.598235,1.099415302,3.47488451
2044.417759,550.6034873,1.099595666,3.475807905
2049.422109,555.607837,1.099595666,3.476731062
2054.424319,560.6100474,1.099415302,3.477654457
2059.429576,565.6153041,1.099415302,3.478270054
2064.437759,570.6234872,1.099595666,3.479193211
2069.439018,575.6247456,1.099415302,3.479808807
2074.441312,580.6270399,1.099595666,3.480732203
2079.446524,585.6322527,1.099415302,3.481040001
2084.451712,590.6374396,1.099415302,3.481963158
2089.457285,595.6430131,1.099595666,3.482886553
2094.464304,600.6500324,1.099595666,3.48350215
2099.466545,605.6522729,1.099415302,3.484425306
2104.470718,610.6564466,1.099595666,3.485040903
2109.477028,615.6627561,1.099415302,3.4856565
2114.481305,620.667033,1.099595666,3.486887455
2119.490565,625.6762936,1.099595666,3.487503052
2124.494794,630.680522,1.099415302,3.488118649
2129.501325,635.6870536,1.099415302,3.488734245
2134.502307,640.6880353,1.099595666,3.489657402
2139.506556,645.6922837,1.099595666,3.490272999
2144.514743,650.700471,1.099776149,3.491196394
2149.520035,655.7057634,1.099595666,3.491811991
2154.527255,660.7129833,1.099595666,3.492427349
2159.533539,665.7192667,1.099595666,3.493042946
2164.54072,670.7264481,1.099595666,3.493966341
2169.546187,675.7319157,1.099595666,3.494274139
2174.55227,680.737998,1.099595666,3.495505095
2179.555516,685.7412448,1.099595666,3.495812893
2184.562718,690.7484462,1.099415302,3.49642849
2189.565007,695.7507352,1.099595666,3.497351885
2194.56825,700.7539781,1.099595666,3.497967243
2199.574507,705.7602348,1.099595666,3.498275042
2204.580711,710.7664392,1.099415302,3.498890638
2209.585041,715.7707685,1.099415302,3.499506235
2214.588294,720.7740218,1.099595666,3.500429392
2219.59255,725.7782783,1.099415302,3.50073719
2224.600875,730.7866038,1.099415302,3.501352787
2229.609019,735.7947468,1.099595666,3.502276182
2234.616268,740.801996,1.099595666,3.502891541
2239.620473,745.8062013,1.099415302,3.502891541
2244.628934,750.8146627,1.099595666,3.503814936
2249.633071,755.8187995,1.099415302,3.504430532
2254.635233,760.8209614,1.099595666,3.505046129
2259.639298,765.8250258,1.099595666,3.505353928
2264.645809,770.831537,1.099415302,3.505969286
2269.653007,775.8387354,1.099595666,3.506584883
2274.660209,780.8459372,1.099415302,3.506892681
2279.666482,785.8522098,1.099415302,3.507816076
2284.674742,790.8604698,1.099595666,3.508431435
2289.67697,795.8626984,1.099415302,3.508739233
2294.682311,800.8680389,1.099595666,3.50935483
2299.688462,805.8741898,1.099415302,3.509970427
2304.692781,810.8785087,1.099595666,3.510586023
2309.698016,815.8837437,1.099415302,3.510893583
2314.700258,820.8859857,1.099415302,3.51150918
2319.707552,825.8932807,1.099595666,3.512432575
2324.70972,830.8954477,1.099415302,3.512432575
2329.718009,835.903737,1.099415302,3.513048172
2334.722248,840.9079762,1.099415302,3.51366353
2339.724625,845.9103533,1.099595666,3.514586926
2344.728756,850.9144847,1.099415302,3.514586926
2349.729023,855.9147515,1.099415302,3.515202522
2354.737218,860.9229461,1.099595666,3.515510321
2359.743582,865.9293102,1.099415302,3.516125679
2364.751871,870.9375992,1.099595666,3.516741276
2369.756999,875.9427269,1.099595666,3.517356873
2374.759426,880.9451548,1.099415302,3.517356873
2379.763459,885.9491865,1.099776149,3.517972469
2384.770752,890.9564799,1.099776149,3.518588066
2389.775014,895.9607422,1.099234819,3.518895626
2394.783257,900.9689846,1.099595666,3.519511223
2399.787506,905.9732341,1.099595666,3.52012682
2404.795759,910.9814873,1.099595666,3.520434618
2409.800976,915.9867043,1.099595666,3.520742416
2414.806289,920.9920171,1.099415302,3.521357775
2419.811501,925.9972294,1.099415302,3.521665573
2424.816745,931.002473,1.099595666,3.521973372
2429.823956,936.0096844,1.099415302,3.522588968
2434.832327,941.018055,1.099595666,3.523204565
2439.841554,946.0272825,1.099415302,3.523204565
2444.844782,951.0305096,1.099415302,3.523512363
2449.852002,956.0377307,1.099595666,3.524127722
2454.860272,961.0460004,1.099595666,3.524743319
2459.867505,966.0532338,1.099415302,3.524743319
2464.874774,971.0605018,1.099595666,3.525051117
2469.88295,976.0686783,1.099595666,3.525358915
2474.888547,981.0742753,1.099415302,3.525666714
2479.895622,986.0813508,1.099595666,3.526590109
2484.902773,991.0885011,1.099415302,3.526590109
2489.906978,996.092706,1.099415302,3.526897669
2494.914253,1001.099981,1.099234819,3.527205467
2499.921478,1006.107206,1.099595666,3.527513266
2504.92875,1011.114478,1.099595666,3.528128862
2509.938037,1016.123765,1.099595666,3.528128862
2514.943257,1021.128985,1.099595666,3.528436661
2519.943555,1026.129284,1.099595666,3.528744459
2524.943864,1031.129592,1.099234819,3.529359818
2529.950009,1036.135737,1.099595666,3.529667616
2534.955364,1041.141092,1.099595666,3.529667616
2539.962532,1046.14826,1.099415302,3.529667616
2544.967702,1051.15343,1.099595666,3.530283213
2549.973966,1056.159694,1.099595666,3.530591011
2554.983248,1061.168976,1.099595666,3.530591011
2559.9895,1066.175227,1.099415302,3.531206608
2564.995762,1071.18149,1.099595666,3.531206608
2570.002012,1076.18774,1.099234819,3.531206608
2575.00843,1081.194157,1.099595666,3.531822205
2580.011499,1086.197227,1.099595666,3.532129765
2585.019709,1091.205437,1.099595666,3.532437563
2590.026039,1096.211767,1.099595666,3.532437563
2595.033385,1101.219114,1.099595666,3.532437563
2600.040497,1106.226225,1.099595666,3.532745361
2605.046749,1111.232477,1.099595666,3.53305316
2610.049119,1116.234848,1.099415302,3.53305316
2615.055239,1121.240967,1.099415302,3.533360958
2620.055521,1126.241249,1.099595666,3.533668756
2625.060772,1131.2465,1.099595666,3.534284353
2630.068022,1136.25375,1.099415302,3.533976555
2635.072207,1141.257936,1.099595666,3.534284353
2640.080495,1146.266223,1.099595666,3.534592152
2645.088941,1151.274669,1.099234819,3.534284353
2650.092796,1156.278524,1.099415302,3.534899712
2655.100239,1161.285967,1.099415302,3.534899712
2660.106493,1166.292222,1.099595666,3.53520751
2665.111751,1171.297479,1.099595666,3.53520751
2670.120956,1176.306684,1.099595666,3.535515308
2675.122245,1181.307973,1.099776149,3.535823107
2680.129495,1186.315223,1.099415302,3.535515308
2685.133744,1191.319472,1.099595666,3.535823107
2690.139196,1196.324924,1.099415302,3.536130905
2695.139256,1201.324984,1.099415302,3.536130905
2700.142507,1206.328235,1.099595666,3.536746502
2705.14785,1211.333578,1.099415302,3.536438704
2710.151969,1216.337697,1.099595666,3.536746502
2715.156247,1221.341976,1.099595666,3.5370543
2720.156599,1226.342328,1.099595666,3.5370543
2725.160767,1231.346495,1.099415302,3.5370543
2730.165284,1236.351013,1.099415302,3.5370543
2735.167254,1241.352983,1.099415302,3.53736186
2740.172492,1246.35822,1.099595666,3.537669659
2745.174997,1251.360725,1.099595666,3.537669659
2750.182994,1256.368722,1.099595666,3.537977457
2755.190312,1261.37604,1.099595666,3.537977457
2760.198574,1266.384302,1.099595666,3.538285255
2765.207697,1271.393425,1.099595666,3.538285255
2770.214033,1276.399761,1.099595666,3.538593054
2775.21735,1281.403078,1.099415302,3.538593054
2780.223503,1286.409231,1.099415302,3.538593054
2785.227813,1291.413541,1.099595666,3.538900852
2790.231996,1296.417724,1.099415302,3.538900852
2795.241244,1301.426972,1.099415302,3.539208651
2800.246571,1306.4323,1.099595666,3.539208651
2805.251744,1311.437472,1.099595666,3.539516449
2810.259035,1316.444763,1.099595666,3.539516449
2815.264242,1321.44997,1.099415302,3.539824247
2820.26754,1326.453268,1.099415302,3.539824247
2825.267802,1331.45353,1.099595666,3.540131807
2830.273987,1336.459715,1.099415302,3.540439606
2835.281243,1341.466971,1.099595666,3.540131807
2840.286435,1346.472163,1.099595666,3.540439606
2845.295706,1351.481434,1.099595666,3.540439606
2850.301956,1356.487684,1.099595666,3.540747404
2855.310219,1361.495948,1.099595666,3.540747404
2860.312491,1366.498219,1.099595666,3.541055202
2865.319746,1371.505474,1.099595666,3.541363001
2870.32899,1376.514718,1.099415302,3.541363001
2875.338306,1381.524034,1.099595666,3.541363001
2880.347343,1386.533071,1.099415302,3.541363001
